Nuevo Colombino,21670,2001
Ramon Sanchez-Pizjuan,43000,1958
San Mames,53331,2013
Camp Nou,99354,1957
RCDE Stadium,40000,2009
Santiago Bernabeu,81044,1947
Nova Creu Alta,11908,1967
Wanda Metropolitano,68456,2017
Suarez Puerta,5400,1999
'Municipal El Molinon-Enrique Castro "Quini"',30000,1908
Abanca-Riazor,34889,1944
Benito Villamarin,60720,1929
Enrique Roca de Murcia,31179,2006
Reale Arena,39313,1993
Ciudad de Valencia,26354,1969
Nuevo Mirador,7200,1999
Ramon de Carranza,20000,1957
Heliodoro Rodriguez Lopez,22824,1925
El Sardinero,22222,1988
Nou Estadi de Tarragona,14591,1971
Jose Rico Perez,29500,1974
Stadium Gal,5000,1926
Son Moix,23142,1999
Lasesarre,7960,2001
Cartagonova,14353,1988
Municipal de Vilatenim,9000,1986
Mestalla,55000,1923
A Malata,12043,1993
El Sadar,23516,1967
Mendizorroza,19840,1924
Castalia,15500,1987
El Toralin,8400,2000
Martinez Valero,33732,1976
Reino de Leon,13346,2001
Abanca Balaidos,29000,1928
Estadio de Vallecas,14708,1976
Narcis Sala,6593,1970
Municipal Carlos Tartiere,30500,2000
Anduva,5759,1950
Jose Zorrilla,27618,1982
Municipal de Butarque,12454,1998
El Collao,4850,1921
La Victoria,12569,2001
Municipal de Montilivi,11200,1970
Alfredo Di Stefano,6000,2005
Nuevo Estadio de Los Carmenes,19336,1995
La Romareda,33608,1957
Carlos Belmonte,18000,1960
Municipal de Pasaron,10500,1956
Municipal de Ipurua,8164,1947
Ciudad Deportiva de Paterna,2250,1992
Nuevo Estadio Los Pajaritos,8261,1999
Estadio de la Ceramica,23500,1923
Municipal de Chapin,20486,1988
Pedro Escartin,7000,1967
Ciudad de Puertollano,6813,2010
La Rosaleda,30044,1941
Gran Canaria,32392,2003
Jesus Navas,10600,1974
Anxo Carro,7840,1974
Nuevo Arcangel,20989,1993
Municipal Alfonso Murube,6500,1933
El Alcoraz,9200,1972
Cerro del Espino,3800,1995
Instalaciones de Lezama,3200,1971
Miniestadi,15276,1982
Santo Domingo,7870,2001
Coliseum Alfonso Perez,7870,2001
Estadio Municipal de El Plantio,12642,1964
Juegos Mediterraneos,15274,2004
Nuevo Vivero,14175,1998
Olimpico de Tarrasa,11500,1960
Estadio Ciudad de Malaga,10816,2006
Las Llanas,4367,1923
Estadio Antonio Solana,2500,1979
Romano,14600,1953
Municipal de El Plantio,12642,1964
Helmantico,17341,1970
Francisco de la Hera,12000,1996
Estadio Municipal Veronica Boquete de San Lazaro,12000,1993
Camp d'Esports,13500,1919
Estadio Las Gaunas,16000,2002
O Couto,5659,1948
Municipal de Sto. Domingo,5100,1978
Estadio Municipal Juan Rojas,20586,1976
Estadio Fco. Artes Carrasco,8120,2003
Estadio La Victoria,12569,2001
Nou Estadi de Palamos,5938,1989
Municipal de Vecindario,6000,1987
San Pablo,3500,1986
Estadio Salto del Caballo,5500,1973
Municipal de Linarejos,10000,1956
Estadio Municipal de Marbella,7000,1975
Estadio Luis Suner Pico,8104,1973
Los Arcos,3500,1945
Campo Municipal de Deportes de Mollerusa,4000,1968
Campo de Santa Barbara,7000,1958
Nuevo La Balastera,8100,2006
Ciudad Deportiva del Real Zaragoza,2500,1974
Estadio Pepe Goncalvez,3000,1937
Son Bibiloni,18000,2007
Ciudad Deportiva del Villarreal,5000,2002
