1,1972-1973,1a
2,1972-1973,2a
3,1973-1974,1a
4,1973-1974,2a
5,1974-1975,1a
6,1974-1975,2a
7,1975-1976,1a
8,1975-1976,2a
9,1976-1977,1a
10,1976-1977,2a
11,1977-1978,1a
12,1977-1978,2a
13,1978-1979,1a
14,1978-1979,2a
15,1979-1980,1a
16,1979-1980,2a
17,1980-1981,1a
18,1980-1981,2a
19,1981-1982,1a
20,1981-1982,2a
21,1982-1983,1a
22,1982-1983,2a
23,1983-1984,1a
24,1983-1984,2a
25,1984-1985,1a
26,1984-1985,2a
27,1985-1986,1a
28,1985-1986,2a
29,1986-1987,1a
30,1986-1987,2a
31,1986-1987,1a
32,1986-1987,2a
33,1986-1987,Descenso a 2a
34,1987-1988,1a
35,1987-1988,2a
36,1987-1988,Promocion 1a/2a
37,1988-1989,1a
38,1988-1989,2a
39,1988-1989,Promocion 1a/2a
40,1989-1990,1a
41,1989-1990,2a
42,1989-1990,Promocion 1a/2a
43,1990-1991,1a
44,1990-1991,2a
45,1990-1991,Promocion 1a/2a
46,1991-1992,1a
47,1991-1992,2a
48,1991-1992,Promocion 1a/2a
49,1992-1993,1a
50,1992-1993,2a
51,1992-1993,Promocion 1a/2a
52,1993-1994,1a
53,1993-1994,2a
54,1993-1994,Promocion 1a/2a
55,1994-1995,1a
56,1994-1995,2a
57,1994-1995,Promocion 1a/2a
58,1995-1996,1a
59,1995-1996,2a
60,1995-1996,Promocion 1a/2a
61,1996-1997,1a
62,1996-1997,2a
63,1996-1997,Promocion 1a/2a
64,1997-1998,1a
65,1997-1998,2a
66,1997-1998,Promocion 1a/2a
67,1998-1999,1a
68,1998-1999,2a
69,1998-1999,Promocion 1a/2a
70,1999-2000,1a
71,1999-2000,2a
72,2000-2001,1a
73,2000-2001,2a
74,2001-2002,1a
75,2001-2002,2a
76,2002-2003,1a
77,2002-2003,2a
78,2003-2004,1a
79,2003-2004,2a
80,2004-2005,1a
81,2004-2005,2a
82,2005-2006,1a
83,2005-2006,2a
84,2006-2007,1a
85,2006-2007,2a
86,2007-2008,1a
87,2007-2008,2a
88,2008-2009,1a
89,2008-2009,2a
90,2009-2010,1a
91,2009-2010,2a
92,2010-2011,1a
93,2010-2011,2a
94,2010-2011,Promocion 1a/2a
95,2011-2012,1a
96,2011-2012,2a
97,2011-2012,Promocion 1a/2a
98,2012-2013,1a
99,2012-2013,2a
100,2012-2013,Promocion 1a/2a
101,2013-2014,1a
102,2013-2014,2a
103,2013-2014,Promocion 1a/2a
104,2014-2015,1a
105,2014-2015,2a
106,2014-2015,Promocion 1a/2a
107,2015-2016,1a
108,2015-2016,2a
