UNIDAD;COMUNIDAD AUTONOMA;PROVINCIA;LOCALIDAD;DOMICILIO;CODIGO POSTAL;TELEFONO;OBSERVACIONES;
CENTRO DE ADIESTRAMIENTO DE PERROS;MADRID;MADRID;EL PARDO;CTRA. DE COLMENAR, S/N;28048;913762140;;
 SERVICIO CINOLOGICO Y REMONTA;MADRID;MADRID;EL PARDO; CTRA. DE COLMENAR, S/N;28048;913762140;;
 UNIDAD CINOLOGICA CENTRAL;MADRID;MADRID;EL PARDO; CTRA. DE COLMENAR,S/N;28048;913762140;;
A.R.S. (JEFATURA);MADRID;MADRID;MADRID;C/ GUZMAN EL BUENO, 110;28003;915146000;;
ESCUADRON DE CABALLERIA;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;915146870;;
G. R. S. 1;MADRID;MADRID;VALDEMORO; CTRA. ANDALUCIA KM. 24.500;28342;918099409;;
G. R. S. 2;ANDALUC�A;SEVILLA;SEVILLA; AV. VILLANUEVA DEL PITAMO, 6;41013;954939741;;
G. R. S. 3;VALENCIA;VALENCIA;VALENCIA;C/ EUGENIA VI�ES, 233;46011;963555555;;
G. R. S. 4;CATALU�A;BARCELONA;SAN ANDRES DE LA BARCA; CAMI VELL DEL PALAU S/N;8740;936823030;;
G. R. S. 5;ARAG�N;ZARAGOZA;CASETAS; C/ VIZCAYA, 1;50620;976462101;;
G. R. S. 6;CASTILLA Y LEON;LEON;LA VIRGEN DEL CAMINO; PLAZA CUATRO VIENTOS, 21;24198;987302013;;
G. R. S. 7;GALICIA;PONTEVEDRA;PONTEVEDRA; CASTROSENIN - MOURENETE;36164;986866640;;
G. R. S. 8;CANARIAS;SANTA CRUZ DE TENERIFE;SAN CRISTOBAL DE LA LAGUNA; AEROPUERTO DE LOS RODEOS, S7N (ANTIG. TERM. SALIDAS);38206;922632786;;
I.A.E. DE MELILLA;MELILLA;MELILLA;MELILLA;PLAZA MARTIN DE CORDOBA, NUM. 7;;952696033;ML-CMD-MELILLA@GUARDIACIVIL.ORG;
I.A.E. DE CEUTA;CEUTA;CEUTA;CEUTA;AVDA. OTERO, 19;;956502760;ce-cmd-ceuta-ia@guardiacivil.org;
ZONA DE MADRID;MADRID;MADRID;MADRID;C/BATALLA DEL SALADO, 32;;915146913;m-zon-madrid-iae@guardiacivil.org;
I.A.E. DE MADRID (TRES CANTOS);MADRID;MADRID;TRES CANTOS;C/SECTOR ESCULTORES, 10;;915146989;m-cmd-madrid-ia-trescantos@guardiacivil.org;
MADRID (CAPITAL);MADRID;MADRID;MADRID;C/ IBA�EZ DE IBERO, N� 4-A;;915146324;m-cmd-madrid-ia@guardiacivil.org;
SAN LORENZO DE EL ESCORIAL;MADRID;MADRID;ESCORIAL (EL);C/MONTE DEL FRAILE, 8;;918905510;M-CIA-SANLORENZOESCORIAL-IA@GUARDIACIVIL.ORG;
GETAFE;MADRID;MADRID;GETAFE;C/FUENLABRADA, 42;;916950170;m-cia-getafe-ia@guardiacivil.org;
NAVALCARNERO;MADRID;MADRID;NAVALCARNERO;C/CUARTEL, 9;;918101036;M-PPL-NAVALCARNERO-IA@GUARDIACIVIL.ORG;
SAN MARTIN DE VALDEIGLESIAS;MADRID;MADRID;SAN MARTIN DE VALDEIGLESIAS;C/CARRETERA DE AVILA, 3;;918676023;CTA.CORREO 102238-271REG;
FUENLABRADA;MADRID;MADRID;FUENLABRADA;C/FRANCIA, 19;;916073471;m-cia-getafe-ia-fuenlabrada@guardiacivil.org;
LEGANES;MADRID;MADRID;LEGANES;PLAZA CAPITAN CORTES, 1;;916930056;m-cia-getafe-ia-leganes@guardiacivil.es ;
MOSTOLES;MADRID;MADRID;MOSTOLES;C/ LILAS N� 5-7;;916130102;M-CIA-GETAFE-IA-MOSTOLES@GUARDIACIVIL.ORG;
ARANJUEZ;MADRID;MADRID;ARANJUEZ;AVD EL PRINCIPE, 40;;918910062;m-cia-aranjuez-ia@guardiacivil.org;
PARLA;MADRID;MADRID;PARLA;C/ LAGUNA VILLAFRANCA DE LOS CABALLEROS, 4;;916990102;M-CIA-ARANJUEZ-IA-PARLA@GUARDIACIVIL.ORG;
ALCALA DE HENARES;MADRID;MADRID;ALCALA DE HENARES;AVD� DE MECO, S/N;;918306863;M-CIA-ALCALAHENARES-IA@GUARDIACIVIL.ORG;
TORREJON DE ARDOZ;MADRID;MADRID;TORREJON DE ARDOZ;AVDA. FRONTERAS, 2;;916750065;m-pto-torrejonardoz-ia@guardiacivil.org;
ARGANDA DEL REY;MADRID;MADRID;ARGANDA DEL REY;C/ MAR DE ALBORAN, 5;;918710059;M-PPL-ARGANDAREY-IA@GUARDIACIVIL.ORG;
COLMENAR VIEJO;MADRID;MADRID;COLMENAR VIEJO;AVDA. LA LIBERTAD, 2;;918450163;m-cia-colmenarviejo-ia@guardiacivil.org;
ALCOBENDAS;MADRID;MADRID;ALCOBENDAS;AV� DE VALDELAPARRA, 124;;916621293;m-cia-colmenarviejo-ia-alcobendas@guardiacivil.org;
LAS ROZAS;MADRID;MADRID;ROZAS DE MADRID (LAS);AVDA. ESPA�A, 235;;916341414;m-ppl-rozasmajadahonda-ia@guaridacivil.org;
ZONA DE CASTILLA-LA MANCHA;CASTILLA LA MANCHA;TOLEDO;TOLEDO;AVDA. BARBER, 42;;925225900;to-zon-toledo-iae@guardiacivil.org;
I.A.E. DE TOLEDO;CASTILLA LA MANCHA;TOLEDO;TOLEDO;AVDA. BARBER, 42;;925225900;TO-CMD-TOLEDO-IAE@GUARDIACIVIL.ORG;
MORA;CASTILLA LA MANCHA;TOLEDO;MORA;PASEO DE LAS DELICIAS, 36;;925300067;to-ia-mora@guardiacivil.org;
OCA�A;CASTILLA LA MANCHA;TOLEDO;OCA�A;AVDA. PARQUE, 1;;925130068;to-cia-ocana-iarmas@guardiacivil.org;
TALAVERA DE LA REINA;CASTILLA LA MANCHA;TOLEDO;TALAVERA DE LA REINA;AVDA. PIO XII, 12;;925720184;to-ia-talaverareina@guardiacivil.org;
TORRIJOS;CASTILLA LA MANCHA;TOLEDO;TORRIJOS;C/PUENTE, 52;;925760178;to-ia-torrijos@guardiacivil.org;
I.A.E. DE CIUDAD REAL;CASTILLA LA MANCHA;CIUDADREAL;CIUDAD REAL;C/PEDRERA BAJA, 25;;926271170;cr-cmd-ciudadreal-ia@guardiacivil.org;
PUERTOLLANO;CASTILLA LA MANCHA;CIUDADREAL;PUERTOLLANO;C/CERVANTES, 67;;926441753;cr-cia-puertollano-ia@guardiacivil.org;
ALMADEN;CASTILLA LA MANCHA;CIUDADREAL;ALMADEN;C/GLORIETA DEL CRISTO, S/N;;926264645;cr-pto-almaden-ia@guaridacivil.org;
VALDEPE�AS;CASTILLA LA MANCHA;CIUDADREAL;VALDEPE�AS;C/GUARDIA CIVIL, 7;;926347011;cr-pto-valdepenas-ia@guardiacivil.org;
VILLANUEVA DE LOS INFANTES;CASTILLA LA MANCHA;CIUDADREAL;VILLANUEVA DE LOS INFANTES;C/ PIO XII, 76;;926360167;cr-cmd-villanuevainfantes-ia@guardiacivil.org;
ALCAZAR DE SAN JUAN;CASTILLA LA MANCHA;CIUDADREAL;ALCAZAR DE SAN JUAN;C/JUAN BAUTISTA DE LA CONCEPCION, 1;;926552693;cr-cia-alcazar-ia@guardiacivil.org;
TOMELLOSO;CASTILLA LA MANCHA;CIUDADREAL;TOMELLOSO;AVDA. VIRGEN DE LAS VI�AS, 53;;926501821;CR-PTO-TOMELLOSO-IA-ESPECIAL@GUARDIACIVIL.ORG;
MANZANARES;CASTILLA LA MANCHA;CIUDADREAL;MANZANARES;CRTA. DE LA SOLANA, 58;;926610396;cr-cia-manzanares-ia@guardiacivil.org;
I.A.E. DE ALBACETE;CASTILLA LA MANCHA;ALBACETE;ALBACETE;AV. RAMON Y CAJAL, 33;;967192257;AB-CMD-ALBACETE-IA@GUARDIACIVIL.ORG;
LA RODA;CASTILLA LA MANCHA;ALBACETE;RODA (LA);C/MEDIODIA, 12;;967441305;ab-cia-roda-ia@guardiacivil.org;
VILLARROBLEDO;CASTILLA LA MANCHA;ALBACETE;VILLARROBLEDO;AVDA. REYES CATOLICOS, 78;;967138027;ab-pto-villarrobledo-ia@guardiacivil.org;
ALMANSA;CASTILLA LA MANCHA;ALBACETE;ALMANSA;C/CORREDERA, 136;;967340950;ab-cia-almansa-ia@guardiacivil.org ;
HELLIN;CASTILLA LA MANCHA;ALBACETE;HELLIN;PLAZA DE LA GUARDIA CIVIL, 1;;967543343;ab-cia-hellin-ia@guardiacivil.org;
I.A.E. DE GUADALAJARA;CASTILLA LA MANCHA;GUADALAJARA;GUADALAJARA;AVDA. CASTILLA, 9;;949247979;gu-cmd-guadalajara-ia@guardiacivil.org;
SIGUENZA;CASTILLA LA MANCHA;GUADALAJARA;SIG�ENZA;C/SANTA BARBARA, NUM.5;;949347292;gu-cia-siguenza-ia@guardiacivil.org;
MOLINA DE ARAGON;CASTILLA LA MANCHA;GUADALAJARA;MOLINA DE ARAGON;CRT. TERUEL KM 61;;949830157;gu-cia-molinaaragon-ia@guardiacivil.org;
AZUQUECA DE HENARES;CASTILLA LA MANCHA;GUADALAJARA;AZUQUECA DE HENARES;AVDA. DE MECO NUMERO 27;;949260946;gu-ppl-azuquecahenares-ia@guardiacivil.org;
